q1,q2,q3,q6,q4,q5,q17,q18,q20,q22,q23,q24,q25,q26,q27,q28,q29,q30,q33,q40,q41,q42,q56,q57,q58,q53,q54,q16,weight,stratum,psu
17 years old,Female,Grade 11,Never,1.56,41,0 times,Not seriously injured,0 days,Most of the time,Always,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Rarely,3,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Most of the time,1.5,39,0 times,Not seriously injured,0 days,Most of the time,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Most of the time,2,1 or 2 days,Rarely,12 or more times,4.2403,201401017,106
17 years old,Female,Grade 11,Sometimes,1.43,47,0 times,Not seriously injured,3 to 5 days,Sometimes,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Both,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,1 or 2 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.56,49,2 or 3 times,Something else happened to me,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Rarely,1,1 or 2 days,Sometimes,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Never,1.75,66,6 or 7 times,Something else happened to me,0 days,Sometimes,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My mother or female guardian,I have never used drugs,0 times,0 times,Never,Most of the time,1,3 to 5 days,Always,0 times,7.5797,201401017,106
16 years old,Female,Grade 11,Sometimes,1.6,35,0 times,Not seriously injured,0 days,Sometimes,Most of the time,No,Yes,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,10 or more days,Never,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.67,51,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,4,1 or 2 days,Always,0 times,4.2403,201401017,106
16 years old,Male,Grade 11,Never,1.78,69,1 time,Concussion/head injury,0 days,Never,Never,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Most of the time,1,1 or 2 days,Sometimes,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Sometimes,1.59,43,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,2 or 3 times,2,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Sometimes,2,3 to 5 days,Always,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Never,1.68,81,0 times,Not seriously injured,0 days,Sometimes,Rarely,No,No,0 times,3 or more,16 or 17 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,4,3 to 5 days,Sometimes,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Sometimes,1.58,48,0 times,Not seriously injured,1 or 2 days,Most of the time,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Always,1,0 days,Most of the time,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Never,1.53,49,1 time,Something else happened to me,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,3,1 or 2 days,Always,2 or 3 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.53,49,1 time,Something else happened to me,0 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,1,0 days,Most of the time,2 or 3 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.48,33,0 times,Not seriously injured,0 days,Never,Sometimes,Yes,Yes,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Most of the time,1,1 or 2 days,Most of the time,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.53,51,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,1,1 or 2 days,Rarely,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Sometimes,1.67,46,1 time,Not seriously injured,0 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Never,1,10 or more days,Most of the time,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.77,58,0 times,Not seriously injured,0 days,Sometimes,Rarely,No,No,0 times,2,16 or 17 years old,All 30 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,1,1 or 2 days,Most of the time,0 times,7.5797,201401017,106
18 years old or older,Male,Grade 11,Never,NA,NA,1 time,Broken bone/dislocated joint,0 days,Sometimes,Most of the time,No,No,0 times,2,14 or 15 years old,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Never,3,0 days,Always,2 or 3 times,7.5797,201401017,106
17 years old,Male,Grade 11,Rarely,1.68,61,2 or 3 times,Something else happened to me,0 days,Rarely,Most of the time,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Rarely,1,0 days,Most of the time,1 time,7.5797,201401017,106
17 years old,Male,Grade 11,Sometimes,1.72,46,2 or 3 times,Broken bone/dislocated joint,0 days,Never,Always,No,No,0 times,0,12 or 13 years old,All 30 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Never,1,6 to 9 days,Sometimes,2 or 3 times,7.5797,201401017,106
18 years old or older,Female,Grade 11,Most of the time,1.59,45,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Never,1,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.65,56,4 or 5 times,I had a cut or stab wound,0 days,Most of the time,Most of the time,Yes,Yes,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Most of the time,2,3 to 5 days,Always,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Most of the time,1.53,54,1 time,Not seriously injured,0 days,Never,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,4,3 to 5 days,Always,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Sometimes,1.73,80,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Never,1,NA,Never,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Sometimes,1.56,72,NA,NA,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Never,1,0 days,Most of the time,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.55,39,0 times,Not seriously injured,0 days,Rarely,Sometimes,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,2,6 to 9 days,Most of the time,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Most of the time,1.52,64,1 time,Something else happened to me,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,16 or 17 years old,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Sometimes,2,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Sometimes,1.56,41,0 times,Not seriously injured,3 to 5 days,Sometimes,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Rarely,Sometimes,3,1 or 2 days,Sometimes,0 times,7.5797,201401017,106
18 years old or older,Female,Grade 11,Never,1.51,41,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,2,14 or 15 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Rarely,1,1 or 2 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Never,1.8,64,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Sometimes,Most of the time,4,1 or 2 days,Always,0 times,7.5797,201401017,106
16 years old,Male,Grade 11,Never,1.75,74,0 times,Not seriously injured,3 to 5 days,Never,Most of the time,No,Yes,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Rarely,1,0 days,Most of the time,2 or 3 times,7.5797,201401017,106
16 years old,Female,Grade 11,Sometimes,1.47,46,0 times,Not seriously injured,0 days,Most of the time,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Sometimes,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Sometimes,1.72,79,1 time,Something else happened to me,NA,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Most of the time,2,1 or 2 days,Most of the time,0 times,7.5797,201401017,106
11 years old or younger,Male,Grade 11,Sometimes,1.75,79,0 times,Not seriously injured,0 days,Never,Never,Yes,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Rarely,Always,5,0 days,Most of the time,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Sometimes,1.72,44,NA,NA,0 days,Sometimes,Sometimes,No,No,0 times,NA,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Rarely,2,1 or 2 days,Sometimes,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Sometimes,1.52,41,1 time,I had a cut or stab wound,0 days,Sometimes,Sometimes,Yes,Yes,1 time,3 or more,14 or 15 years old,20 to 29 days,6 to 9 days,My father or male guardian,NA,NA,NA,Sometimes,Most of the time,1,6 to 9 days,Sometimes,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Rarely,1.5,36,2 or 3 times,Concussion/head injury,0 days,Rarely,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Most of the time,2,3 to 5 days,Rarely,12 or more times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Rarely,1.51,39,1 time,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,1,0 days,Sometimes,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.61,52,NA,NA,0 days,Never,Rarely,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,4.2403,201401017,106
16 years old,Male,Grade 11,Never,1.67,52,2 or 3 times,I had a cut or stab wound,0 days,Never,Rarely,No,No,0 times,3 or more,12 or 13 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,NA,1,0 days,Always,12 or more times,7.5797,201401017,106
16 years old,Male,Grade 11,Sometimes,1.53,47,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Sometimes,3,6 to 9 days,Sometimes,0 times,7.5797,201401017,106
16 years old,Female,Grade 11,Rarely,1.57,65,0 times,Not seriously injured,0 days,Most of the time,Sometimes,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Most of the time,1,0 days,Rarely,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Rarely,1.54,47,2 or 3 times,Something else happened to me,0 days,Sometimes,Never,Yes,Yes,2 or 3 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Rarely,1,3 to 5 days,Most of the time,2 or 3 times,4.2403,201401017,106
18 years old or older,Male,Grade 11,Sometimes,1.74,52,2 or 3 times,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Neither,14 or 15 years old,NA,10 to 19 times,Sometimes,NA,3,NA,NA,12 or more times,7.5797,201401017,106
18 years old or older,Male,Grade 11,Never,1.68,78,1 time,Something else happened to me,0 days,Never,Never,No,Yes,NA,NA,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Sometimes,1,6 to 9 days,Always,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.69,65,0 times,Not seriously injured,0 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,NA,5,0 days,Sometimes,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.62,63,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,1 or 2 days,Most of the time,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Rarely,1.75,62,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Never,1.81,62,1 time,Broken bone/dislocated joint,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Most of the time,3,0 days,Sometimes,2 or 3 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.67,55,2 or 3 times,I had a cut or stab wound,0 days,Rarely,Rarely,No,No,0 times,3 or more,16 or 17 years old,0 days,0 days,Both,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,1 or 2 days,Always,0 times,7.5797,201401017,106
11 years old or younger,Male,Grade 8,NA,1.64,56,0 times,Not seriously injured,0 days,Never,Never,Yes,Yes,0 times,0,NA,NA,0 days,My mother or female guardian,NA,0 times,NA,Never,Rarely,2,1 or 2 days,Never,0 times,3.3771,201401017,106
17 years old,Male,Grade 11,Rarely,1.72,47,1 time,I had a cut or stab wound,0 days,Sometimes,Never,Yes,No,0 times,1,NA,NA,1 or 2 days,My father or male guardian,10 or 11 years old,0 times,0 times,Never,NA,1,0 days,Never,0 times,7.5797,201401017,106
16 years old,Male,Grade 11,Rarely,1.56,57,1 time,Broken bone/dislocated joint,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,7 years old or younger,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Sometimes,3,0 days,Always,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Never,1.64,56,1 time,Something else happened to me,20 to 29 days,Always,Never,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,NA,1,0 days,Never,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Never,1.55,55,0 times,Not seriously injured,0 days,Rarely,Sometimes,NA,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,7 years old or younger,0 times,0 times,Never,Never,1,0 days,Never,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Never,1.55,62,0 times,Not seriously injured,0 days,Never,Never,No,Yes,0 times,3 or more,12 or 13 years old,1 or 2 days,1 or 2 days,I do not know,I have never used drugs,0 times,0 times,Always,Always,2,3 to 5 days,Always,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Sometimes,1.59,46,0 times,Not seriously injured,0 days,Sometimes,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Sometimes,1,0 days,Sometimes,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Sometimes,1.59,47,0 times,Not seriously injured,0 days,Never,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Sometimes,2,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.58,49,NA,NA,0 days,Never,NA,Yes,Yes,1 time,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Most of the time,5,0 days,Always,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Sometimes,1.6,39,2 or 3 times,NA,0 days,Sometimes,Sometimes,Yes,Yes,1 time,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Most of the time,4,3 to 5 days,Most of the time,2 or 3 times,4.2403,201401017,106
18 years old or older,Female,Grade 11,Never,1.58,39,1 time,Something else happened to me,0 days,Sometimes,Sometimes,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Most of the time,2,0 days,Never,6 or 7 times,4.2403,201401017,106
16 years old,Male,Grade 11,Never,1.6,51,2 or 3 times,Broken bone/dislocated joint,0 days,Never,Never,No,No,0 times,3 or more,14 or 15 years old,3 to 5 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Never,1,0 days,Always,2 or 3 times,7.5797,201401017,106
17 years old,Male,Grade 11,Rarely,1.75,70,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,3 or more,12 or 13 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Rarely,1,0 days,Sometimes,0 times,7.5797,201401017,106
17 years old,Female,Grade 11,Never,NA,NA,2 or 3 times,Something else happened to me,0 days,Never,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,5,0 days,Most of the time,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Sometimes,NA,NA,2 or 3 times,I had a cut or stab wound,1 or 2 days,Most of the time,Always,Yes,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Both,I have never used drugs,0 times,0 times,Never,Sometimes,3,0 days,Sometimes,1 time,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.5,36,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Sometimes,0 times,4.2403,201401017,106
16 years old,Male,Grade 11,Never,1.61,54,0 times,Not seriously injured,0 days,Never,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,1 or 2 days,Always,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.71,71,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,1,0 days,Always,0 times,7.5797,201401017,106
18 years old or older,Female,Grade 11,Never,1.51,44,1 time,I had a cut or stab wound,0 days,Sometimes,Most of the time,NA,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,4.2403,201401017,106
16 years old,Female,Grade 11,Never,1.6,60,NA,NA,0 days,Sometimes,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,2,3 to 5 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.53,38,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,Yes,0 times,3 or more,14 or 15 years old,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Rarely,1,6 to 9 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Male,Grade 11,Sometimes,1.69,64,2 or 3 times,Something else happened to me,0 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Sometimes,5,10 or more days,Sometimes,12 or more times,7.5797,201401017,106
17 years old,Male,Grade 11,Rarely,1.7,46,1 time,Something else happened to me,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My mother or female guardian,I have never used drugs,0 times,0 times,Rarely,Most of the time,2,10 or more days,Always,0 times,7.5797,201401017,106
16 years old,Female,Grade 11,Rarely,1.63,55,1 time,Something else happened to me,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Sometimes,2,10 or more days,Sometimes,0 times,4.2403,201401017,106
18 years old or older,Male,Grade 11,Never,1.72,45,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,14 or 15 years old,All 30 days,3 to 5 days,Neither,16 or 17 years old,20 or more times,NA,Rarely,Most of the time,2,3 to 5 days,Most of the time,0 times,7.5797,201401017,106
17 years old,Male,Grade 11,Never,1.71,61,2 or 3 times,Broken bone/dislocated joint,0 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Sometimes,1,3 to 5 days,Always,2 or 3 times,7.5797,201401017,106
17 years old,Female,Grade 11,Never,1.52,51,0 times,Not seriously injured,0 days,Sometimes,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,1,0 days,Most of the time,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Never,1.59,41,0 times,Not seriously injured,0 days,Sometimes,Never,No,No,1 time,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Sometimes,1,0 days,Sometimes,0 times,4.2403,201401017,106
17 years old,Female,Grade 11,Rarely,1.61,45,0 times,Not seriously injured,0 days,Never,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Rarely,2,1 or 2 days,Always,0 times,4.2403,201401017,106
13 years old,Male,Grade 8,Sometimes,1.55,50,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Sometimes,2 or 3 times,7.7732,201401017,105
16 years old,Female,Grade 10,Rarely,1.57,53,1 time,Broken bone/dislocated joint,0 days,Rarely,Most of the time,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Rarely,3,0 days,Most of the time,1 time,3.8197,201401016,101
16 years old,Female,Grade 10,Never,1.5,47,0 times,Not seriously injured,All 30 days,Sometimes,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Most of the time,5,10 or more days,Never,0 times,3.8197,201401016,101
15 years old,Female,Grade 10,Never,1.6,53,0 times,Not seriously injured,0 days,Sometimes,Rarely,No,No,0 times,2,10 or 11 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Most of the time,1,0 days,Most of the time,0 times,3.8197,201401016,101
16 years old,Male,Grade 10,Rarely,1.66,50,NA,Not seriously injured,0 days,Sometimes,Most of the time,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,NA,0 times,0 times,Rarely,Sometimes,1,1 or 2 days,Always,0 times,4.7506,201401016,101
16 years old,Male,Grade 10,Never,1.73,77,2 or 3 times,Something else happened to me,0 days,Sometimes,Most of the time,Yes,Yes,2 or 3 times,3 or more,14 or 15 years old,20 to 29 days,0 days,My father or male guardian,14 or 15 years old,1 or 2 times,1 or 2 times,Never,Never,3,3 to 5 days,Sometimes,0 times,4.7506,201401016,101
15 years old,Male,Grade 10,Never,1.66,52,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Never,Most of the time,4,0 days,Always,2 or 3 times,4.7506,201401016,101
