q1,q2,q3,q6,q4,q5,q17,q18,q20,q22,q23,q24,q25,q26,q27,q28,q29,q30,q33,q40,q41,q42,q56,q57,q58,q53,q54,q16,weight,stratum,psu
14 years old,Male,Grade 9,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,1,0 days,Never,0 times,471.0586,201601020,40
14 years old,Male,Grade 9,Never,1.59,42,1 time,Broken bone/dislocated joint,1 or 2 days,Rarely,Rarely,No,No,0 times,3 or more,12 or 13 years old,1 or 2 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Rarely,Most of the time,2,0 days,Most of the time,1 time,471.0586,201601020,40
13 years old,Male,Grade 9,Never,1.7,69,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Always,1,0 days,Sometimes,1 time,471.0586,201601020,40
14 years old,Male,Grade 9,Never,1.62,43,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,1 time,471.0586,201601020,40
14 years old,Male,Grade 9,Never,NA,NA,0 times,Not seriously injured,0 days,Most of the time,Never,No,No,0 times,2,12 or 13 years old,0 days,0 days,My father or male guardian,12 or 13 years old,0 times,0 times,Always,Always,1,0 days,Always,0 times,471.0586,201601020,40
14 years old,Male,Grade 9,Never,1.44,50,0 times,Not seriously injured,1 or 2 days,Never,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Never,2,1 or 2 days,Always,0 times,471.0586,201601020,40
14 years old,Female,Grade 9,Never,1.54,53,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,1 time,315.1872,201601020,40
14 years old,Female,Grade 9,Never,1.45,30,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,2,1 or 2 days,Most of the time,2 or 3 times,315.1872,201601020,40
15 years old,Female,Grade 10,Never,1.51,33,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,369.7238,201601020,40
15 years old,Female,Grade 10,Never,1.53,43,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Always,1,0 days,Rarely,0 times,369.7238,201601020,40
15 years old,Male,Grade 10,Never,1.63,44,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,1,0 days,Most of the time,0 times,568.1865,201601020,40
15 years old,Male,Grade 11,Never,1.51,32,NA,NA,0 days,Sometimes,Rarely,No,No,0 times,NA,I have never smoked cigarettes,0 days,0 days,Neither,NA,NA,0 times,Always,Always,1,0 days,Most of the time,0 times,458.5633,201601020,40
15 years old,Male,Grade 10,Never,1.61,43,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Most of the time,0 times,568.1865,201601020,40
15 years old,Male,Grade 10,Never,1.5,34,1 time,Something else happened to me,0 days,Rarely,Rarely,No,Yes,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Sometimes,4 or 5 times,568.1865,201601020,40
15 years old,Male,Grade 10,Never,1.63,48,1 time,Broken bone/dislocated joint,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,4 or 5 times,568.1865,201601020,40
15 years old,Male,Grade 10,Never,1.5,34,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,1,0 days,Most of the time,1 time,568.1865,201601020,40
16 years old,Male,Grade 11,Never,NA,NA,NA,NA,0 days,Rarely,Never,No,No,0 times,3 or more,7 years old or younger,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,NA,0 times,489.1342,201601020,40
16 years old,Male,Grade 11,Never,NA,NA,1 time,Broken bone/dislocated joint,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,0 times,489.1342,201601020,40
16 years old,Male,Grade 11,Sometimes,1.48,60,1 time,Broken bone/dislocated joint,1 or 2 days,Never,Never,No,No,0 times,2,8 or 9 years old,10 to 19 days,20 to 29 days,NA,NA,20 or more times,10 to 19 times,Never,Always,2,0 days,Sometimes,2 or 3 times,489.1342,201601020,40
16 years old,Male,Grade 11,Never,1.39,47,1 time,I had a gunshot wound,0 days,Always,Always,No,No,0 times,0,16 or 17 years old,3 to 5 days,0 days,My father or male guardian,16 or 17 years old,1 or 2 times,20 or more times,NA,NA,NA,NA,NA,12 or more times,489.1342,201601020,40
16 years old,Male,Grade 11,Sometimes,NA,NA,0 times,Not seriously injured,0 days,Rarely,Never,No,Yes,0 times,3 or more,NA,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Always,Never,1,NA,Rarely,0 times,489.1342,201601020,40
16 years old,Male,Grade 11,Never,NA,NA,1 time,Broken bone/dislocated joint,0 days,Rarely,Rarely,No,No,2 or 3 times,2,7 years old or younger,1 or 2 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,2,1 or 2 days,Sometimes,0 times,489.1342,201601020,40
13 years old,Female,Grade 8,Never,1.54,37,0 times,Not seriously injured,0 days,Sometimes,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,3,1 or 2 days,Always,0 times,532.8685,201601020,39
13 years old,Male,Grade 8,Always,1.35,30,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,5,1 or 2 days,Always,0 times,491.9952,201601020,39
14 years old,Female,Grade 8,Never,1.45,35,1 time,Something else happened to me,0 days,Rarely,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,1,0 days,Always,0 times,532.8685,201601020,39
13 years old,Female,Grade 8,Sometimes,NA,NA,1 time,Not seriously injured,6 to 9 days,Sometimes,Rarely,Yes,NA,1 time,3 or more,8 or 9 years old,10 to 19 days,1 or 2 days,Neither,10 or 11 years old,0 times,20 or more times,Most of the time,Sometimes,5,3 to 5 days,Always,6 or 7 times,532.8685,201601020,39
13 years old,Female,Grade 8,Never,NA,NA,1 time,Something else happened to me,0 days,Sometimes,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Always,2,1 or 2 days,Sometimes,0 times,532.8685,201601020,39
13 years old,Female,Grade 8,Never,1.45,35,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Most of the time,0 times,532.8685,201601020,39
13 years old,Female,Grade 8,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Rarely,No,Yes,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Sometimes,1,0 days,Always,2 or 3 times,532.8685,201601020,39
13 years old,Female,Grade 8,Never,NA,NA,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,4,0 days,Always,0 times,532.8685,201601020,39
13 years old,Female,Grade 8,Never,1.39,35,1 time,Broken bone/dislocated joint,0 days,Rarely,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,1 or 2 days,Neither,I have never used drugs,0 times,0 times,Always,Always,5,0 days,Most of the time,0 times,532.8685,201601020,39
13 years old,Male,Grade 8,Never,1.38,30,1 time,Not seriously injured,1 or 2 days,Rarely,Never,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Never,1,1 or 2 days,Sometimes,1 time,491.9952,201601020,39
13 years old,Female,Grade 8,Rarely,NA,NA,0 times,Not seriously injured,0 days,Most of the time,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Always,1,0 days,Sometimes,0 times,532.8685,201601020,39
14 years old,Male,Grade 9,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Rarely,2,1 or 2 days,Rarely,0 times,527.7601,201601020,39
14 years old,Female,Grade 9,Rarely,1.58,45,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,0 times,353.1264,201601020,39
14 years old,Female,Grade 9,Rarely,1.62,50,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,353.1264,201601020,39
13 years old,Female,Grade 9,Never,1.41,35,1 time,Something else happened to me,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Most of the time,4,0 days,Most of the time,0 times,353.1264,201601020,39
14 years old,Female,Grade 9,Never,1.48,35,0 times,Not seriously injured,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Most of the time,1,0 days,Always,10 or 11 times,353.1264,201601020,39
14 years old,Female,Grade 9,Never,1.58,35,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,353.1264,201601020,39
14 years old,Female,Grade 9,Rarely,1.43,29,0 times,Not seriously injured,0 days,Rarely,Sometimes,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,353.1264,201601020,39
14 years old,Male,Grade 9,Most of the time,1.36,27,0 times,Not seriously injured,0 days,Never,Never,Yes,No,1 time,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Never,Never,1,1 or 2 days,Rarely,2 or 3 times,527.7601,201601020,39
13 years old,Female,Grade 9,Never,1.48,45,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Always,0 times,353.1264,201601020,39
15 years old,Male,Grade 10,Never,NA,NA,1 time,Broken bone/dislocated joint,0 days,Rarely,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,2,10 or more days,Most of the time,0 times,511.3679,201601020,39
14 years old,Male,Grade 10,Most of the time,NA,NA,1 time,I had a cut or stab wound,1 or 2 days,Most of the time,Sometimes,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Most of the time,3,1 or 2 days,Sometimes,0 times,511.3679,201601020,39
15 years old,Female,Grade 10,Rarely,1.61,45,1 time,I was poisoned,0 days,Always,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Always,5,1 or 2 days,Always,1 time,332.7514,201601020,39
15 years old,Female,Grade 10,Most of the time,1.48,73,1 time,Something else happened to me,1 or 2 days,Most of the time,Never,Yes,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Rarely,1,3 to 5 days,Rarely,1 time,332.7514,201601020,39
16 years old,Female,Grade 10,Never,NA,NA,0 times,Not seriously injured,0 days,Most of the time,Never,Yes,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Most of the time,0 times,332.7514,201601020,39
14 years old,Male,Grade 10,Rarely,NA,NA,4 or 5 times,Concussion/head injury,3 to 5 days,Rarely,Rarely,No,No,0 times,2,I have never smoked cigarettes,0 days,1 or 2 days,My father or male guardian,10 or 11 years old,0 times,0 times,Most of the time,Most of the time,3,1 or 2 days,Rarely,4 or 5 times,511.3679,201601020,39
15 years old,Female,Grade 10,Never,NA,NA,12 or more times,Something else happened to me,1 or 2 days,Sometimes,Rarely,No,No,1 time,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Always,2,0 days,Always,1 time,332.7514,201601020,39
16 years old,Female,Grade 10,Sometimes,NA,NA,0 times,Not seriously injured,0 days,Sometimes,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Both,I have never used drugs,0 times,0 times,Sometimes,Always,1,0 days,Sometimes,0 times,332.7514,201601020,39
15 years old,Female,Grade 10,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Rarely,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Always,1,0 days,Always,8 or 9 times,332.7514,201601020,39
15 years old,Male,Grade 10,Never,1.52,39,NA,NA,6 to 9 days,Never,Never,No,Yes,4 or 5 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Most of the time,2,1 or 2 days,Rarely,0 times,511.3679,201601020,39
15 years old,Female,Grade 10,Never,NA,NA,0 times,Not seriously injured,3 to 5 days,Rarely,Most of the time,No,Yes,1 time,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Most of the time,2,0 days,Rarely,0 times,332.7514,201601020,39
15 years old,Male,Grade 10,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,1,1 or 2 days,Sometimes,2 or 3 times,511.3679,201601020,39
15 years old,Male,Grade 10,Never,1.63,38,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Never,Rarely,4,1 or 2 days,Rarely,0 times,511.3679,201601020,39
14 years old,Female,Grade 10,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Never,1 time,332.7514,201601020,39
15 years old,Male,Grade 10,Rarely,1.37,37,0 times,Not seriously injured,1 or 2 days,Rarely,Rarely,No,No,0 times,2,10 or 11 years old,0 days,1 or 2 days,My father or male guardian,7 years old or younger,0 times,0 times,Never,Always,5,0 days,Most of the time,1 time,511.3679,201601020,39
14 years old,Female,Grade 10,Never,NA,NA,0 times,Not seriously injured,1 or 2 days,Rarely,Never,Yes,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Most of the time,1 time,332.7514,201601020,39
16 years old,Male,Grade 11,Rarely,NA,NA,0 times,Not seriously injured,0 days,Sometimes,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Always,0 times,440.2207,201601020,39
16 years old,Female,Grade 11,Never,1.44,49,1 time,Something else happened to me,0 days,Rarely,Rarely,No,No,0 times,3 or more,NA,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,2,6 to 9 days,Rarely,0 times,428.0382,201601020,39
16 years old,Male,Grade 11,Never,1.45,43,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,2,0 days,Most of the time,0 times,440.2207,201601020,39
16 years old,Female,Grade 11,Never,1.55,95,0 times,Not seriously injured,0 days,Sometimes,Never,Yes,Yes,1 time,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,4,0 days,Always,0 times,428.0382,201601020,39
16 years old,Male,Grade 11,Never,NA,NA,1 time,I had a cut or stab wound,0 days,Never,Never,No,No,0 times,0,NA,NA,0 days,My mother or female guardian,7 years old or younger,0 times,0 times,Rarely,Never,1,0 days,Rarely,0 times,440.2207,201601020,39
16 years old,Male,Grade 11,Never,NA,NA,1 time,Broken bone/dislocated joint,1 or 2 days,Never,Never,No,Yes,1 time,3 or more,14 or 15 years old,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,NA,5,0 days,Sometimes,1 time,440.2207,201601020,39
16 years old,Female,Grade 11,Never,1.6,53,0 times,Not seriously injured,0 days,Most of the time,Never,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Never,1,0 days,Sometimes,0 times,428.0382,201601020,39
15 years old,Male,Grade 11,Never,1.55,39,1 time,Something else happened to me,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Always,Most of the time,2,0 days,Rarely,0 times,440.2207,201601020,39
16 years old,Male,Grade 11,Never,NA,NA,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,0,I have never smoked cigarettes,0 days,0 days,Neither,NA,NA,0 times,Never,Rarely,1,1 or 2 days,Never,1 time,440.2207,201601020,39
16 years old,Female,Grade 11,Never,1.47,48,0 times,Not seriously injured,1 or 2 days,Rarely,Most of the time,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Always,NA,3,1 or 2 days,Most of the time,0 times,428.0382,201601020,39
13 years old,Male,Grade 8,Sometimes,1.59,40,0 times,Not seriously injured,0 days,Sometimes,NA,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,NA,I have never used drugs,0 times,0 times,Never,Sometimes,1,0 days,Rarely,0 times,421.7102,201601019,38
13 years old,Female,Grade 8,Never,NA,NA,NA,Not seriously injured,3 to 5 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,NA,NA,10 to 19 times,Always,Sometimes,NA,3 to 5 days,Rarely,2 or 3 times,456.7444,201601019,38
13 years old,Male,Grade 8,Sometimes,1.56,50,2 or 3 times,Broken bone/dislocated joint,0 days,Sometimes,Rarely,Yes,Yes,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Never,1,6 to 9 days,Rarely,1 time,421.7102,201601019,38
13 years old,Male,Grade 8,Never,1.52,41,0 times,Not seriously injured,0 days,Rarely,Rarely,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Always,5,1 or 2 days,Always,0 times,421.7102,201601019,38
13 years old,Male,Grade 8,Never,1.44,32,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Sometimes,Sometimes,3,0 days,Most of the time,0 times,421.7102,201601019,38
14 years old,Male,Grade 8,Never,NA,NA,NA,Not seriously injured,0 days,Never,Sometimes,No,No,0 times,3 or more,NA,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Most of the time,1,3 to 5 days,Sometimes,0 times,421.7102,201601019,38
13 years old,Female,Grade 8,Rarely,1.54,47,NA,NA,0 days,Rarely,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,I do not know,I have never used drugs,0 times,0 times,Rarely,Rarely,1,3 to 5 days,Always,0 times,456.7444,201601019,38
13 years old,Female,Grade 8,Never,1.42,42,NA,Not seriously injured,NA,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,My mother or female guardian,I have never used drugs,0 times,0 times,Always,Always,1,1 or 2 days,Always,1 time,456.7444,201601019,38
13 years old,Female,Grade 8,Never,1.3,33,0 times,NA,0 days,Rarely,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,NA,2,0 days,Rarely,0 times,456.7444,201601019,38
13 years old,Female,Grade 8,Never,1.54,40,0 times,Not seriously injured,1 or 2 days,Sometimes,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Always,1,0 days,Sometimes,0 times,456.7444,201601019,38
13 years old,Male,Grade 8,Never,NA,NA,NA,Not seriously injured,6 to 9 days,Rarely,Sometimes,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,1 or 2 days,Neither,I have never used drugs,0 times,0 times,Always,Always,5,10 or more days,Always,12 or more times,421.7102,201601019,38
14 years old,Male,Grade 9,Never,1.61,50,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,3,NA,Sometimes,2 or 3 times,493.4899,201601019,38
14 years old,Female,Grade 9,Never,1.41,30,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,1 or 2 days,Always,0 times,330.1961,201601019,38
14 years old,Female,Grade 9,Never,1.53,42,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Most of the time,Always,1,0 days,Rarely,0 times,330.1961,201601019,38
14 years old,Female,Grade 9,Never,1.37,32,0 times,Not seriously injured,0 days,Never,Never,No,No,NA,0,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Always,1,0 days,Always,0 times,330.1961,201601019,38
14 years old,Female,Grade 9,Never,1.52,53,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Always,Never,1,1 or 2 days,Always,0 times,330.1961,201601019,38
14 years old,Male,Grade 9,Never,1.47,32,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,2,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Never,Never,1,0 days,Rarely,0 times,493.4899,201601019,38
14 years old,Male,Grade 9,Always,1.47,35,0 times,Not seriously injured,0 days,Never,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,My father or male guardian,I have never used drugs,0 times,0 times,Never,Always,1,0 days,Most of the time,0 times,493.4899,201601019,38
15 years old,Male,Grade 10,Sometimes,1.66,49,0 times,Not seriously injured,0 days,Sometimes,Never,No,No,0 times,1,I have never smoked cigarettes,0 days,0 days,Neither,I have never used drugs,0 times,0 times,Rarely,Sometimes,2,0 days,Rarely,0 times,550.2438,201601019,38
15 years old,Male,Grade 10,Never,1.74,54,2 or 3 times,Broken bone/dislocated joint,1 or 2 days,Never,Rarely,No,No,0 times,3 or more,I have never smoked cigarettes,0 days,1 or 2 days,My father or male guardian,I have never used drugs,0 times,0 times,Sometimes,Most of the time,3,1 or 2 days,Sometimes,0 times,550.2438,201601019,38
15 years old,Male,Grade 10,Never,1.6,72,0 times,Not seriously injured,0 days,Never,Rarely,Yes,No,0 times,1,12 or 13 years old,1 or 2 days,1 or 2 days,My father or male guardian,14 or 15 years old,1 or 2 times,1 or 2 times,Rarely,Rarely,1,1 or 2 days,Rarely,2 or 3 times,550.2438,201601019,38
